V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58
0.6129032258064516,0.5757575757575758,0.5625,0.6333333333333333,0.6666666666666666,0.6,0.6451612903225806,0.53125,0.6785714285714286,0.5454545454545454,0.6451612903225806,0.5,0.6451612903225806,0.5806451612903226,0.6896551724137931,0.6129032258064516,0.53125,0.5,0.5,1,0.46875,0.6451612903225806,0.48484848484848486,0.6774193548387096,0.5,0.7586206896551724,0.6,0.47058823529411764,0.6,0.6333333333333333,0.6666666666666666,0.5806451612903226,0.53125,0.5483870967741935,0.5151515151515151,0.6333333333333333,0.5625,0.5483870967741935,0.7241379310344828,0.45714285714285713,0.6551724137931034,0.47058823529411764,0.53125,0.5806451612903226,0.5,0.7407407407407407,0.40540540540540543,0.6333333333333333,0.59375,0.5151515151515151,0.6896551724137931,0.5,0.5806451612903226,0.6923076923076923,0.5,0.6923076923076923,0.5714285714285714,0.5333333333333333
0.6206896551724138,0.53125,0.5161290322580645,0.5333333333333333,0.5161290322580645,0.5517241379310345,0.5,0.4838709677419355,0.5172413793103449,0.6551724137931034,0.45454545454545453,0.6,0.5,0.5333333333333333,0.5862068965517241,0.6206896551724138,0.4838709677419355,0.5,0.40625,0.46875,1,0.37142857142857144,0.5333333333333333,0.6333333333333333,0.45454545454545453,0.6,0.7307692307692307,0.5161290322580645,0.5517241379310345,0.5333333333333333,0.5555555555555556,0.5862068965517241,0.5333333333333333,0.40625,0.5666666666666667,0.4838709677419355,0.6206896551724138,0.5517241379310345,0.46875,0.6,0.6071428571428571,0.5666666666666667,0.4838709677419355,0.5333333333333333,0.6071428571428571,0.4666666666666667,0.5806451612903226,0.4375,0.6,0.5161290322580645,0.5333333333333333,0.5517241379310345,0.6428571428571429,0.36666666666666664,0.38461538461538464,0.41379310344827586,0.4642857142857143,0.5357142857142857
0.59375,0.65625,0.5454545454545454,0.6666666666666666,0.7586206896551724,0.53125,0.5757575757575758,0.6666666666666666,0.6,0.4857142857142857,0.7931034482758621,0.5757575757575758,0.7333333333333333,0.5151515151515151,0.6666666666666666,0.59375,0.5151515151515151,0.3684210526315789,0.6333333333333333,0.6451612903225806,0.37142857142857144,1,0.3888888888888889,0.5588235294117647,0.6774193548387096,0.5294117647058824,0.53125,0.45714285714285713,0.6333333333333333,0.6129032258064516,0.5333333333333333,0.47058823529411764,0.6129032258064516,0.53125,0.59375,0.6129032258064516,0.5,0.53125,0.7,0.5294117647058824,0.53125,0.5,0.47058823529411764,0.7241379310344828,0.4411764705882353,0.7142857142857143,0.39473684210526316,0.7241379310344828,0.5294117647058824,0.5454545454545454,0.5625,0.5806451612903226,0.5151515151515151,0.6071428571428571,0.42857142857142855,0.5517241379310345,0.40625,0.42424242424242425
0.4411764705882353,0.5,0.6333333333333333,0.37142857142857144,0.48484848484848486,0.5666666666666667,0.47058823529411764,0.5,0.3939393939393939,0.6129032258064516,0.42857142857142855,0.47058823529411764,0.5625,0.6,0.5483870967741935,0.53125,0.6,0.47058823529411764,0.46875,0.48484848484848486,0.5333333333333333,0.3888888888888889,1,0.5454545454545454,0.42857142857142855,0.6666666666666666,0.46875,0.5806451612903226,0.5666666666666667,0.5483870967741935,0.5172413793103449,0.6,0.4117647058823529,0.6206896551724138,0.53125,0.6,0.53125,0.6206896551724138,0.4411764705882353,0.6129032258064516,0.5161290322580645,0.53125,0.5,0.5483870967741935,0.6785714285714286,0.3939393939393939,0.59375,0.4117647058823529,0.42857142857142855,0.53125,0.5483870967741935,0.6206896551724138,0.5483870967741935,0.34375,0.35714285714285715,0.3870967741935484,0.43333333333333335,0.5
0.5757575757575758,0.6875,0.6774193548387096,0.59375,0.6774193548387096,0.7241379310344828,0.7096774193548387,0.59375,0.53125,0.8275862068965517,0.6060606060606061,0.7096774193548387,0.7096774193548387,0.6451612903225806,0.8214285714285714,0.7333333333333333,0.7,0.4722222222222222,0.5625,0.6774193548387096,0.6333333333333333,0.5588235294117647,0.5454545454545454,1.0769230769230769,0.5588235294117647,0.7096774193548387,0.6666666666666666,0.6774193548387096,0.6129032258064516,0.6451612903225806,0.8076923076923077,0.6451612903225806,0.6451612903225806,0.6129032258064516,0.625,0.6451612903225806,0.5757575757575758,0.7241379310344828,0.5757575757575758,0.65625,0.6666666666666666,0.4857142857142857,0.59375,0.6451612903225806,0.6666666666666666,0.6333333333333333,0.5,0.59375,0.65625,0.5757575757575758,0.7,0.6129032258064516,0.7586206896551724,0.6428571428571429,0.5769230769230769,0.6428571428571429,0.5862068965517241,0.6551724137931034
0.5,0.7096774193548387,0.5454545454545454,0.6129032258064516,0.7,0.53125,0.4444444444444444,0.6666666666666666,0.5483870967741935,0.4857142857142857,0.625,0.625,0.625,0.5625,0.6666666666666666,0.59375,0.5625,0.2682926829268293,0.6333333333333333,0.5,0.45454545454545453,0.6774193548387096,0.42857142857142855,0.5588235294117647,1,0.4857142857142857,0.6333333333333333,0.45714285714285713,0.5806451612903226,0.6129032258064516,0.5333333333333333,0.47058823529411764,0.5625,0.4411764705882353,0.5454545454545454,0.6129032258064516,0.45714285714285713,0.5806451612903226,0.45714285714285713,0.5294117647058824,0.6333333333333333,0.3783783783783784,0.5151515151515151,0.6666666666666666,0.4411764705882353,0.6,0.39473684210526316,0.6129032258064516,0.625,0.5,0.5625,0.5806451612903226,0.5625,0.45161290322580644,0.3793103448275862,0.40625,0.40625,0.42424242424242425
0.5454545454545454,0.65625,0.6451612903225806,0.5151515151515151,0.6451612903225806,0.6896551724137931,0.6774193548387096,0.5625,0.5,0.6774193548387096,0.5757575757575758,0.5757575757575758,0.625,0.6666666666666666,0.7241379310344828,0.7586206896551724,0.6129032258064516,0.5294117647058824,0.48484848484848486,0.7586206896551724,0.6,0.5294117647058824,0.6666666666666666,0.7096774193548387,0.4857142857142857,1.08,0.6333333333333333,0.5454545454545454,0.5806451612903226,0.7857142857142857,0.7037037037037037,0.6666666666666666,0.6666666666666666,0.48484848484848486,0.6451612903225806,0.6666666666666666,0.5454545454545454,0.6333333333333333,0.6451612903225806,0.625,0.6333333333333333,0.59375,0.5151515151515151,0.6666666666666666,0.6333333333333333,0.5483870967741935,0.5142857142857142,0.5625,0.6774193548387096,0.59375,0.6666666666666666,0.6333333333333333,0.6666666666666666,0.5,0.48148148148148145,0.5,0.6071428571428571,0.5666666666666667
0.7142857142857143,0.6129032258064516,0.6,0.5666666666666667,0.6551724137931034,0.6428571428571429,0.48484848484848486,0.6785714285714286,0.5517241379310345,0.6333333333333333,0.5806451612903226,0.6333333333333333,0.5806451612903226,0.6206896551724138,0.6785714285714286,0.6551724137931034,0.6206896551724138,0.4,0.5333333333333333,0.6,0.7307692307692307,0.53125,0.46875,0.6666666666666666,0.6333333333333333,0.6333333333333333,1,0.5,0.4838709677419355,0.7407407407407407,0.72,0.5666666666666667,0.6206896551724138,0.4375,0.5483870967741935,0.6785714285714286,0.5483870967741935,0.5333333333333333,0.6,0.48484848484848486,0.84,0.45454545454545453,0.5666666666666667,0.6785714285714286,0.5333333333333333,0.6071428571428571,0.42857142857142855,0.6206896551724138,0.75,0.5483870967741935,0.6206896551724138,0.6428571428571429,0.6206896551724138,0.5,0.48,0.5,0.5555555555555556,0.6296296296296297
0.42857142857142855,0.625,0.5625,0.48484848484848486,0.5151515151515151,0.6,0.4166666666666667,0.5806451612903226,0.42424242424242425,0.7,0.3783783783783784,0.5454545454545454,0.6451612903225806,0.53125,0.5806451612903226,0.5625,0.6333333333333333,0.34210526315789475,0.5483870967741935,0.47058823529411764,0.5161290322580645,0.45714285714285713,0.5806451612903226,0.6774193548387096,0.45714285714285713,0.5454545454545454,0.5,1,0.4117647058823529,0.53125,0.6071428571428571,0.5806451612903226,0.4,0.6551724137931034,0.47058823529411764,0.5806451612903226,0.5625,0.5483870967741935,0.5151515151515151,0.59375,0.5,0.6129032258064516,0.4411764705882353,0.5806451612903226,0.6,0.46875,0.5757575757575758,0.48484848484848486,0.5,0.6129032258064516,0.48484848484848486,0.6,0.6333333333333333,0.41935483870967744,0.4444444444444444,0.4666666666666667,0.5172413793103449,0.6428571428571429
0.6,0.5625,0.5483870967741935,0.5666666666666667,0.6551724137931034,0.5333333333333333,0.6896551724137931,0.5161290322580645,0.5517241379310345,0.5806451612903226,0.6896551724137931,0.5806451612903226,0.6896551724137931,0.5161290322580645,0.6785714285714286,0.6,0.5161290322580645,0.48484848484848486,0.4838709677419355,0.6,0.5517241379310345,0.6333333333333333,0.5666666666666667,0.6129032258064516,0.5806451612903226,0.5806451612903226,0.4838709677419355,0.4117647058823529,1,0.46875,0.4827586206896552,0.5666666666666667,0.5666666666666667,0.5333333333333333,0.6,0.5666666666666667,0.5,0.7692307692307693,0.45454545454545453,0.6333333333333333,0.5333333333333333,0.45454545454545453,0.5666666666666667,0.5666666666666667,0.5862068965517241,0.6071428571428571,0.5151515151515151,0.5666666666666667,0.4411764705882353,0.5,0.6206896551724138,0.5333333333333333,0.5666666666666667,0.5,0.37037037037037035,0.4482758620689655,0.3548387096774194,0.375
0.5806451612903226,0.6451612903225806,0.6333333333333333,0.5483870967741935,0.6333333333333333,0.5666666666666667,0.5625,0.6551724137931034,0.5862068965517241,0.5625,0.6666666666666666,0.5625,0.6129032258064516,0.7142857142857143,0.6551724137931034,0.6333333333333333,0.7142857142857143,0.42857142857142855,0.5161290322580645,0.6333333333333333,0.5333333333333333,0.6129032258064516,0.5483870967741935,0.6451612903225806,0.6129032258064516,0.7857142857142857,0.7407407407407407,0.53125,0.46875,1,0.6923076923076923,0.5483870967741935,0.6551724137931034,0.46875,0.6333333333333333,0.6551724137931034,0.48484848484848486,0.5161290322580645,0.6896551724137931,0.5625,0.6785714285714286,0.53125,0.5,0.7777777777777778,0.5666666666666667,0.6428571428571429,0.4166666666666667,0.6551724137931034,0.7241379310344828,0.5806451612903226,0.6,0.7407407407407407,0.6,0.4827586206896552,0.46153846153846156,0.4827586206896552,0.5925925925925926,0.5517241379310345
